retail_id,name,tipo
18,tottus,supermercado
22,lider,supermercado
59,jumbo,supermercado
80,booz,supermercado
146,ccu,supermercado
148,rappi_liquidos,supermercado
149,micocacola,supermercado
331,liquidoscl,supermercado
502,centralmayorista,supermercado
503,santaisabel,supermercado
563,jumbo_la_reina,supermercado
636,lider_la_reina2,supermercado
681,despacho_unimarc,supermercado
775,acuenta,supermercado
842,mercadolibre_supermercado,supermercado
872,housebar,supermercado
877,clubsoftys,supermercado
892,mercadolibre_purina,supermercado
955,inkafarma_surquillo,supermercado
955,inkafarma_surquillo,supermercado
961,hebmx_puerta_de_hierro,supermercado
962,wong_chacarilla,supermercado
965,plazavea_primavera,supermercado
969,chedraui_selecto_polanco,supermercado
970,chedraui_selecti_universidad,supermercado
1056,amazon_mx_softys,supermercado
1056,amazon_mx_softys,supermercado
1082,tata_montevideo,supermercado
1083,tienda_inglesa_montevideo,supermercado
1084,farmashop,supermercado
1132,liqui,supermercado
1136,lamesadetodos,supermercado
1137,prisa,supermercado
1162,clubsoftys_pe,supermercado
1166,santarita,supermercado
1207,el_trebol,supermercado
1208,mercadolibre_supermercado_mascotas,supermercado
1209,cugat,supermercado
1259,dimerc,supermercado
1278,ubereats_jumbo___portal_la_reina,supermercado
1327,ubereats_lider___buenaventura,supermercado
1331,elite_professional,supermercado
1360,devoto,supermercado
1361,disco,supermercado
1364,geant,supermercado
1366,pedidosya_uy_market_9,supermercado
1,TiendaPet,mascotas
2,Best for Pets,mascotas
3,PuntoMascotas,mascotas
7,NovaPet,mascotas
8,Pet Club,mascotas
10,Pet City,mascotas
11,Central Vet,mascotas
26,Santiago Pet Store,mascotas
28,PyK,mascotas
50,Pet Phone,mascotas
51,Pet Happy,mascotas
52,Pet Country,mascotas
53,JardinZoo,mascotas
63,Perruqueria,mascotas
189,Laika,mascotas
193,MercadoLibre (Laika),mascotas
221,Club De Perros Y Gatos,mascotas
222,Promaskota,mascotas
223,Alo Mascotas,mascotas
224,Distribuidora Lira,mascotas
226,BeFoods,mascotas
227,Fullerton,mascotas
238,Outletmascotas,mascotas
243,Pethome Chile,mascotas
250,Cornershop (Punto Mascotas),mascotas
254,Cornershop (Pet Phone),mascotas
264,MercadoLibre (Pet Home),mascotas
319,Petcol,mascotas
320,Puppis,mascotas
321,Agrocampo,mascotas
321,Agrocampo,mascotas
322,Kanu,mascotas
322,Kanu,mascotas
323,Laika,mascotas
451,Ciudad de Mascotas,mascotas
704,DrPet,mascotas
720,Laika Mexico,mascotas
721,Petco,mascotas
722,Maskota,mascotas
734,Croquetero,mascotas
735,Oliver,mascotas
743,Superzoo,mascotas
777,Amigales,mascotas
778,TusMascotas,mascotas
780,PetsInTheCity,mascotas
781,Treepet,mascotas
782,Petclick,mascotas
783,Felinus,mascotas
788,Laika Chile,mascotas
880,Bigos,mascotas
891,Distribuidora Fox,mascotas
892,Mercadolibre (Purina),mascotas
893,Mercadolibre (Stylopets),mascotas
894,Mercadolibre (Razas PetShop),mascotas
895,Mercadolibre (Novapet),mascotas
896,Mercadolibre (CatDogShop),mascotas
898,Mercadolibre (PetTime.cl),mascotas
900,Mercadolibre (Kanino),mascotas
901,LaikaMX (Guadalajara),mascotas
902,LaikaMX (Monterrey),mascotas
903,LaikaCO (Bogota),mascotas
904,LaikaCO (Medellin),mascotas
905,LaikaCO (Cali),mascotas
906,LaikaCO (Bucaramanga),mascotas
907,LaikaCO (Barranquilla),mascotas
908,LaikaCO (Pereira),mascotas
917,Mascoterias Peru,mascotas
918,Cuida Mi Mascota (Guadalajara),mascotas
919,Cuida Mi Mascota (Monterrey),mascotas
920,MascotaVeloz,mascotas
921,Superpet (PE),mascotas
922,Petlover (PE),mascotas
932,Cornershop (Propet),mascotas
933,Cornershop (Express Pet),mascotas
937,PedidosYa (Pons Razas),mascotas
943,Rappi (De Todo Pet),mascotas
946,PetPlaza (PE),mascotas
948,Pet&Go,mascotas
949,ExpressPet,mascotas
963,RazasPet,mascotas
1062,Pet Star Delivery,mascotas
1159,Petco Chile,mascotas
1163,Pet Place Perú,mascotas
1192,Pawal,mascotas
1208,Mercadolibre supermercado mascotas,mascotas
1223,Cuida Mi Mascota (CDMX),mascotas
1226,MercadoLibre Top Purina,mascotas
1227,ceba,mascotas
1228,Animal´s Veterinaria,mascotas
1232,MisterPet,mascotas
1234,Mascotify,mascotas
1342,Hunter Store,mascotas
1343,PetZonas,mascotas
1344,FoodyPet,mascotas
1383,Go Pet,mascotas
914,Amazon México,mascotas
